target,gr_code,model,global_rmsd,lddt,tm_score,gdt_ts,clashscore,cc_mask,cc_peaks,tempy_mi,tempy_smoc,ai,ai_bb,ai_base,id
R1138,76,2,40.79,0.572846534,0.2845,7.153,4.25,0.0511,-0.3262,0.022613129,0.306933002,0.223446567,0.211111111,0.257130058,993
R1138,76,3,40.85,0.577746275,0.264,7.083,2.38,0.0582,-0.3314,0.022735438,0.400230382,0.219078047,0.215162037,0.230700314,994
R1138,76,4,55.62,0.577879728,0.2141,6.979,7.54,0.0307,-0.3673,0.017880719,0.268372417,0.216209167,0.183564815,0.258324623,995
R1138,76,5,46.87,0.572068421,0.2713,8.021,42.63,0.0694,-0.3371,0.019077134,0.38701528,0.219860468,0.196296296,0.250261311,996
R1138,81,1,11.8,0.712544956,0.6498,19.618,16.33,0.0902,-0.1298,0.032385422,0.563937922,0.41194497,0.371759259,0.463789757,997
R1138,81,2,10.3,0.696092583,0.717,22.569,14.25,0.114,-0.0896,0.034019844,0.603497714,0.449957619,0.410532407,0.500821263,998
R1138,81,3,10.52,0.712116743,0.7001,20.903,13.95,0.0914,-0.1245,0.032868975,0.577592912,0.416835105,0.371759259,0.474988801,999
R1138,81,4,9.59,0.718106253,0.7359,24.201,10.57,0.108,-0.0753,0.033929393,0.631803016,0.448979592,0.39537037,0.518142452,1000
R1138,81,5,10.52,0.706229063,0.6755,19.861,9.62,0.0939,-0.1444,0.033738737,0.601254144,0.385603443,0.340277778,0.444079439,1001
R1138,97,1,82.65,0.231019214,0.1528,3.125,0.39,0.0084,-0.4325,0.010642737,0.106981868,0.101975615,0.094212963,0.116768702,1002
R1138,97,2,81.54,0.227768056,0.1449,2.743,0.35,0.0138,-0.4449,0.008383227,0.096709513,0.107322162,0.096759259,0.120949679,1003
R1138,97,3,80.15,0.224777069,0.1517,3.021,0.43,0.0062,-0.4303,0.011331201,0.141834224,0.102758036,0.090046296,0.119157832,1004
R1138,97,4,81.45,0.229689937,0.1368,3.299,0.56,0.0071,-0.4155,0.01295074,0.123713105,0.1159288,0.101736111,0.134239212,1005
R1138,97,5,80.11,0.22827915,0.1571,2.708,0.43,0.0154,-0.4168,0.013782287,0.152256474,0.12029732,0.103819444,0.141555921,1006
R1138,119,1,45.39,0.525004087,0.2134,4.583,0.95,0.035,-0.2841,0.028985141,0.344912773,0.249331682,0.242476852,0.258175302,1007
R1138,119,2,39.15,0.576649998,0.3058,9.444,3.6,0.0614,-0.3679,0.014228494,0.1411762,0.186933559,0.170023148,0.208750187,1008
R1138,119,3,29.36,0.596052946,0.325,6.076,10.57,0.0267,-0.3225,0.026338515,0.284747087,0.229053922,0.213310185,0.249365387,1009
R1138,119,4,59.15,0.568399552,0.1568,6.007,2.69,0.0324,-0.3982,0.013853846,0.191318839,0.157331942,0.15787037,0.1566373,1010
R1138,119,5,52.88,0.571413943,0.243,6.042,3.25,0.0454,-0.3591,0.018428312,0.384429159,0.220708092,0.197106481,0.251157235,1011
R1138,125,1,40.79,0.572846534,0.2845,7.153,4.25,0.0511,-0.3262,0.022613129,0.306933002,0.223446567,0.211111111,0.257130058,1012
R1138,125,2,39.05,0.560630518,0.2612,5.59,4.33,0.0326,-0.3352,0.02533171,0.375264911,0.229640738,0.220023148,0.242048679,1013
R1138,125,3,43.57,0.574315429,0.241,6.007,3.64,0.0274,-0.3644,0.020986361,0.202394983,0.194105757,0.173726852,0.220397193,1014
R1138,125,4,54.43,0.58907447,0.1959,6.146,3.6,0.0659,-0.4033,0.011954001,0.11610828,0.154984678,0.149305556,0.167836345,1015
R1138,125,5,38.64,0.591602083,0.3175,8.611,3.81,0.0311,-0.3382,0.02349777,0.298215691,0.215361544,0.192824074,0.246976258,1016
R1138,128,1,27,0.602809496,0.4186,9.722,132.26,0.0588,-0.3189,0.021771085,0.279960558,0.254026211,0.234490741,0.279229506,1017
R1138,128,2,26.72,0.608516803,0.425,12.153,114.52,0.0578,-0.208,0.034451606,0.468849514,0.327247832,0.310763889,0.348663581,1018
R1138,128,3,54.42,0.587802387,0.1959,6.111,9.14,0.0641,-0.4039,0.011909673,0.116731545,0.155180283,0.150231481,0.16664178,1019
R1138,128,4,29.63,0.630823522,0.4251,13.507,113.9,0.0662,-0.3005,0.023244233,0.281879036,0.262241638,0.238194444,0.293265641,1020
R1138,128,5,41.21,0.580455973,0.2619,7.847,107.31,0.0512,-0.2905,0.025109455,0.350305925,0.257351503,0.247685185,0.275645812,1021
